,name,x,y
0,반월당역 대구1호선,128.593337428631,35.8645000309428
1,안심역 대구1호선,128.733769742803,35.8712130165849
2,상인역 대구1호선,128.537763550346,35.8189266589744
3,대곡역 대구1호선,128.512766290689,35.8095726496598
4,중앙로역 대구1호선,128.593973944523,35.8708536582316
5,진천역 대구1호선,128.523079769978,35.8138797140673
6,신천역 대구1호선,128.617860126635,35.8746867238902
7,설화명곡역 대구1호선,128.489361896141,35.798719321197
8,각산역 대구1호선,128.724240613553,35.8679944169567
9,대명역 대구1호선,128.565944864274,35.8393253088268
10,명덕역 대구1호선,128.591109488326,35.8578286525739
11,율하역 대구1호선,128.692713541869,35.8698017965623
12,반야월역 대구1호선,128.71360425376,35.865965920186
13,동대구역 대구1호선,128.627914631874,35.8775534467104
14,월배역 대구1호선,128.53039944745,35.8161802095518
15,아양교역 대구1호선,128.639921198411,35.8872016497293
16,월촌역 대구1호선,128.545472867668,35.8237012191661
17,방촌역 대구1호선,128.67017529155623,35.879640495861686
18,교대역 대구1호선,128.590580870154,35.8506517193906
19,안지랑역 대구1호선,128.573734314089,35.8392307420216
20,영대병원역 대구1호선,128.588073922024,35.8441641859564
21,서부정류장역 대구1호선,128.557190858302,35.8371825987976
22,현충로역 대구1호선,128.581471198973,35.8409494737259
23,화원역 대구1호선,128.500726490573,35.8044715972212
24,동촌역 대구1호선,128.650275999718,35.8860685418711
25,동구청역 대구1호선,128.631936380127,35.8840411124294
26,송현역 대구1호선,128.551723656305,35.8310389735877
27,용계역 대구1호선,128.682019041156,35.8761013615665
28,칠성시장역 대구1호선,128.605133646666,35.8761010648655
29,대구역 대구1호선,128.597046578301,35.8763278301904
30,신기역 대구1호선,128.701871720086,35.866698649177
31,해안역 대구1호선,128.659618182185,35.883546382084
32,용산역 대구2호선,128.528808727588,35.8490710634655
33,두류역 대구2호선,128.555687477795,35.8572148462546
34,대실역 대구2호선,128.465249990912,35.8576058595846
35,죽전역 대구2호선,128.53879794202,35.8507206034816
36,신매역 대구2호선,128.705125542668,35.8408117112752
37,범어역 대구2호선,128.626804891905,35.859019444441
38,고산역 대구2호선,128.693244868779,35.8429442127885
39,사월역 대구2호선,128.71531001125,35.8370297731719
40,감삼역 대구2호선,128.548125709158,35.8543099020589
41,문양역 대구2호선,128.437002637504,35.8641579148789
42,만촌역 대구2호선,128.644747980508,35.8588579996533
43,이곡역 대구2호선,128.515794441163,35.8505949173868
44,계명대역 대구2호선,128.491849809882,35.8515182536424
45,반월당역 대구2호선,128.593564696127,35.8654558330036
46,수성구청역 대구2호선,128.635638667651,35.8588057624788
47,강창역 대구2호선,128.47852956757,35.8530815302455
48,담티역 대구2호선,128.653975174296,35.8547807171623
49,내당역 대구2호선,128.564640260301,35.8601228229147
50,다사역 대구2호선,128.458390514465,35.8648265376596
51,반고개역 대구2호선,128.572719232126,35.8622521621908
52,대구은행역 대구2호선,128.614120632816,35.8597636876029
53,대공원역 대구2호선,128.679985217689,35.8426978198866
54,경대병원역 대구2호선,128.602901808722,35.8631472208032
55,성서산업단지역 대구2호선,128.507000383565,35.8517148505664
56,연호역 대구2호선,128.67168212651,35.8465875965262
57,청라언덕역 대구2호선,128.582433972859,35.8648928905138
58,만평역 대구3호선,128.561060817762,35.8898351506079
59,팔거역 대구3호선,128.558336690689,35.9440507618416
60,남산역 대구3호선,128.583462127899,35.8566969364077
61,황금역 대구3호선,128.623918523675,35.8390783843098
62,용지역 대구3호선,128.646534534337,35.8182678027764
63,수성못역 대구3호선,128.623216677973,35.8313560544497
64,달성공원역 대구3호선,128.582099523544,35.8756894052121
65,동천역 대구3호선,128.556683022262,35.9377101876855
66,칠곡운암역 대구3호선,128.554539499622,35.9314624364377
67,구암역 대구3호선,128.550345968157,35.9257457718174
68,청라언덕역 대구3호선,128.582380299872,35.864197913328
69,태전역 대구3호선,128.547426311675,35.9196484719641
70,범물역 대구3호선,128.640112691676,35.820839170227
71,원대역 대구3호선,128.574359233514,35.8878448262803
72,팔달시장역 대구3호선,128.567880684049,35.8888415481729
73,북구청역 대구3호선,128.58142701792312,35.88374367155882
74,수성시장역 대구3호선,128.616038217575,35.8543238441176
75,지산역 대구3호선,128.631951304556,35.825153218139
76,매천역 대구3호선,128.543413422111,35.9126784247052
77,공단역 대구3호선,128.553616577774,35.8919827045671
78,팔달역 대구3호선,128.546749099511,35.8978386982277
79,대봉교역 대구3호선,128.606372954374,35.8550013763495
80,건들바위역 대구3호선,128.599699303506,35.8553896143222
81,서문시장역 대구3호선,128.582245500572,35.8696678378541
82,매천시장역 대구3호선,128.545741973708,35.9043687510623
83,칠곡경대병원역 대구3호선,128.559895264986,35.9583910233172
84,명덕역 대구3호선,128.590051427753,35.8569523311323
85,학정역 대구3호선,128.559202329079,35.9515586052486
86,어린이회관역 대구3호선,128.624467732878,35.8451698936519
87,수성구민운동장역 대구3호선,128.625129180117,35.8524169408054
88,영남대역 대구2호선,128.752763532,35.8362116642388
89,임당역 대구2호선,128.740845905819,35.8341285153724
90,정평역 대구2호선,128.728671269463,35.8340447735875
